流id,流带宽,进入设备时间,发送流所需时间
369,9535,61,186
370,5746,42,967
371,4431,4,514
372,2876,77,680
373,5522,67,165
374,3631,9,689
375,2016,18,955
376,3662,38,538
377,9643,33,798
378,3654,56,577
379,4491,86,750
380,5881,76,374
381,1819,79,832
382,8077,100,521
383,6282,79,75
384,1160,56,81
385,1163,41,128
386,7964,21,485
387,2750,71,347
388,8127,79,63
389,1403,77,546
390,3167,60,729
391,6473,34,676
392,9924,86,659
393,3633,30,459
394,7808,62,31
395,9672,63,701
396,8319,38,275
397,5092,53,6
398,1788,50,616
399,9207,28,116
400,5325,38,971
401,2801,60,480
402,3981,73,817
403,6719,5,790
404,5906,50,945
405,6213,90,470
406,3337,47,912
407,1773,49,726
408,5446,23,801
409,2099,57,49
410,3153,71,55
411,6005,5,385
412,5033,17,682
413,6144,73,920
414,7980,62,473
415,5862,94,201
416,2074,44,961
417,9668,60,998
418,1413,42,323
419,5574,59,767
420,1820,56,996
421,7675,95,941
422,7323,59,85
423,4553,5,685
424,9570,93,938
425,2252,87,555
426,2144,84,481
427,1165,25,971
428,4814,42,226
429,2744,13,154
430,8948,12,355
431,1009,37,898
432,8685,55,337
433,8575,47,477
434,5219,52,242
435,8998,33,768
436,9469,31,864
437,6063,15,145
438,5741,48,942
439,1886,37,571
440,3609,4,181
441,2270,47,530
442,6068,76,355
443,6572,100,416
444,3476,17,769
445,4897,2,159
446,6531,68,869
447,7147,40,293
448,5365,51,11
449,5677,3,576
450,2070,93,901
451,2875,13,445
452,3435,84,219
453,5262,14,830
454,6701,6,556
455,3504,23,451
456,5905,37,378
457,1357,70,315
458,4877,60,221
459,5372,75,370
460,9996,50,848
461,2822,3,618
462,2553,79,407
463,1656,90,964
464,4994,74,741
465,9225,84,33
466,3092,74,620
467,8414,3,360
468,6333,80,589
469,1281,7,38
470,4715,70,884
471,2618,96,641
472,1505,59,550
473,1187,87,231
474,5858,10,877
475,5801,65,612
476,3179,30,340
477,8777,65,590
478,6259,29,511
479,3921,11,113
480,4723,27,256
481,5159,64,564
482,5862,54,380
483,9067,13,45
484,1179,45,796
485,6084,76,181
486,2902,72,605
487,3670,9,151
488,3600,8,266
489,2732,11,731
490,1840,85,123
491,9861,39,265
492,9264,62,837
493,3813,3,943
494,4618,20,549
495,9859,0,784
496,2414,22,8
497,6088,36,4
498,9450,56,965
499,6421,91,751
500,8290,13,559
501,7266,77,773
502,8892,62,864
503,4392,90,976
504,8357,44,76
505,3083,60,914
506,4496,94,894
507,6916,57,780
508,3900,69,83
509,4061,68,494
510,7596,19,918
511,8128,88,845
512,4778,34,87
513,6352,91,667
514,4558,25,398
515,6879,16,504
516,6659,51,470
517,5949,51,274
518,4429,70,26
519,5554,100,152
520,7431,85,418
521,5898,17,189
522,6081,92,932
523,7208,92,64
524,7740,4,339
525,3557,73,678
526,9456,43,347
527,9027,65,416
528,8511,21,258
529,6539,37,870
530,6122,74,7
531,3020,74,860
532,4389,8,359
533,9234,73,286
534,1040,53,267
535,4561,95,737
536,9029,6,525
537,9228,78,193
538,2337,1,620
539,3380,36,160
540,9656,47,596
541,2687,34,460
542,1269,90,402
543,7407,25,255
544,1268,39,193
545,5234,60,445
546,6750,72,701
547,4583,66,726
548,1133,86,969
549,9018,5,700
550,1779,67,98
551,5894,12,638
552,6118,74,556
553,5574,34,839
554,3863,25,262
555,6532,77,376
556,5103,94,943
557,1782,76,226
558,6746,14,91
559,3264,92,340
560,6495,71,514
561,7386,94,806
562,5391,86,808
563,5754,33,344
564,2700,42,324
565,6521,78,824
566,1758,87,38
567,5709,69,667
568,2561,66,36
569,7096,66,381
570,5019,94,376
571,7739,64,497
572,1024,52,2
573,1174,12,931
574,9374,97,299
575,1792,7,697
576,9872,76,93
577,7749,37,922
578,7173,86,207
579,5762,82,885
580,4720,19,702
581,6570,97,364
582,3887,30,357
583,4816,43,449
584,9021,73,693
585,5752,52,923
586,6131,89,674
587,5803,74,848
588,5289,16,763
589,9105,57,530
590,6697,78,395
591,2602,38,618
592,9213,98,329
593,2478,54,917
594,2447,74,842
595,2017,41,129
596,3321,8,239
597,9352,24,180
598,6479,55,376
599,2275,94,630
600,2865,88,503
601,8199,48,717
602,1094,40,659
603,4079,94,806
604,2066,60,99
605,1162,99,353
606,5072,42,969
607,8777,43,946
608,1373,73,676
609,2112,81,50
610,6547,28,478
611,9314,42,359
612,9028,26,829
613,7238,17,179
614,1682,7,668
615,2609,16,10
616,4372,59,448
617,4928,15,679
618,8580,20,601
619,7995,66,96
620,4258,18,823
621,5957,6,309
622,8420,38,133
623,2464,63,668
624,1921,17,390
625,4630,51,771
626,6770,21,756
627,7975,28,577
628,9906,59,335
629,9302,65,458
630,4162,16,736
631,6165,77,146
632,2029,61,727
633,1248,78,675
634,3099,95,371
635,4569,36,72
636,7639,72,136
637,6180,69,256
638,8355,78,29
639,6787,21,131
640,2501,82,893
641,4507,40,476
642,9041,31,713
643,9445,30,563
644,3457,22,189
645,9308,10,439
646,5228,47,613
647,4793,23,632
648,6811,79,731
649,8335,71,508
650,7819,32,881
651,4933,95,472
652,7994,33,595
653,1658,41,132
654,7092,79,200
655,3508,30,329
656,8514,73,682
657,8930,31,560
658,7521,7,69
659,2341,27,856
660,4065,47,830
661,3068,60,74
662,2208,13,600
663,8209,63,88
664,7013,57,339
665,2227,66,813
666,5786,11,754
667,5153,64,245
668,2088,36,112
669,1107,45,710
670,1814,31,421
671,7174,99,963
672,7319,91,529
673,4390,92,474
674,1039,95,520
675,7908,30,114
676,6127,55,839
677,4655,38,680
678,8420,49,337
679,5512,5,980
680,9154,84,126
681,4172,48,201
682,3207,91,996
683,4984,3,833
684,2273,24,302
685,7417,35,343
686,6185,44,747
687,4012,59,490
688,4066,54,788
689,5666,42,940
690,9539,9,711
691,4139,76,332
692,3732,85,617
693,1464,4,452
694,4776,55,775
695,1936,7,143
696,6185,39,267
697,1088,47,924
698,4818,25,294
699,2854,38,87
700,2852,62,707
701,2943,76,332
702,2642,48,42
703,6681,14,810
704,5371,24,200
705,4418,22,546
706,1909,42,379
707,8231,18,898
708,2022,0,50
709,8268,14,752
710,1219,59,8
711,4141,45,837
712,1089,36,210
713,2144,21,552
714,9785,99,64
715,3526,72,2
716,1591,56,616
717,6793,33,366
718,7074,69,488
719,4257,94,694
720,8752,21,893
721,6631,58,494
722,2418,31,17
723,9705,56,879
724,9869,41,346
725,8196,74,631
726,2395,55,253
727,8034,5,960
728,5321,38,41
729,9288,4,264
730,4380,54,49
731,5474,22,557
732,5322,69,819
733,3577,23,585
734,3559,52,117
735,4053,31,160
736,1769,30,889
737,7518,81,125
738,4929,58,714
739,8558,42,773
740,2311,79,311
741,1029,44,117
742,1720,55,515
743,9218,80,643
744,1944,4,695
745,3226,92,439
746,9345,63,151
747,8549,49,844
748,8540,51,658
749,9698,24,633
750,4663,33,854
751,2146,74,605
752,2924,11,244
753,5888,54,968
754,6195,15,195
755,4919,98,104
756,3923,46,113
757,5784,89,197
758,2889,72,890
759,2351,75,233
760,7070,77,555
761,9018,0,177
762,3103,60,482
763,3891,85,584
764,2684,83,558
765,3944,64,943
766,4188,28,356
767,7891,51,318
768,9337,51,645
769,5354,82,34
770,6134,62,821
771,3040,38,867
772,3720,84,558
773,2401,69,945
774,6780,23,72
775,5669,67,886
776,9224,67,892
777,6826,74,279
778,8358,26,656
779,2823,77,653
780,9433,78,532
781,6701,50,191
782,7226,56,373
783,1513,50,239
784,2342,13,922
785,7470,32,568
786,5128,93,629
787,9508,48,888
788,1133,43,693
789,5634,8,740
790,2985,16,494
791,1967,47,780
792,7022,74,769
793,3974,46,542
794,6300,42,1
795,5530,95,135
796,3913,84,252
797,2940,32,188
798,6681,51,264
799,1793,30,11
800,5003,9,347
801,2095,58,331
802,5002,89,404
803,2374,34,275
804,6538,84,710
805,3504,6,554
806,5390,96,921
807,1655,79,479
808,5071,98,409
809,6160,97,576
810,4512,90,691
811,9426,55,535
812,6372,88,21
813,6417,72,97
814,1096,13,525
815,5653,97,501
816,7407,26,375
817,4144,8,895
818,4921,87,111
819,9673,41,542
820,5533,21,847
821,5580,41,469
822,7707,28,201
823,3585,2,73
824,9874,55,940
825,7820,76,561
826,4034,70,885
827,4127,26,146
828,1009,12,910
829,5278,30,185
830,2095,74,602
831,6216,75,552
832,6872,4,476
833,2876,97,694
834,1229,26,39
835,2872,75,597
836,3774,58,600
837,7043,84,736
838,3143,80,556
839,2264,80,917
840,4503,60,224
841,1877,90,298
842,7945,34,936
843,1750,29,26
844,2486,10,894
845,6422,57,719
846,3980,18,118
847,9021,84,110
848,6389,11,114
849,1182,43,12
850,2494,36,769
851,9998,72,954
852,1642,41,318
853,9966,14,832
854,9145,12,867
855,9142,35,934
856,1731,42,995
857,4261,95,968
858,7818,83,288
859,4194,99,58
860,4996,13,523
861,2789,20,342
862,5246,68,689
863,7615,91,140
864,8686,21,576
865,7337,12,36
866,3729,18,246
867,5854,6,401
868,7458,34,347
869,2841,60,669
870,4927,61,731
871,1207,47,816
872,6478,31,606
873,6432,23,877
874,7774,55,551
875,3197,94,700
876,1928,15,366
877,4340,95,737
878,2644,72,448
879,8770,92,979
880,4969,28,716
881,1592,37,377
882,7214,47,212
883,2075,26,676
884,4540,51,763
885,3094,8,892
886,3752,5,908
887,5966,19,773
888,6640,93,856
889,8201,55,588
890,8844,30,537
891,8090,92,45
892,1618,56,69
893,4657,47,611
894,1853,94,564
895,8072,93,327
896,1062,21,558
897,9622,64,893
898,1091,37,881
899,2184,65,528
900,6184,54,447
901,6378,30,1000
902,5229,88,757
903,3198,54,449
904,1062,80,198
905,3714,97,368
906,2338,17,800
907,1549,100,335
908,9872,48,638
909,8684,25,911
910,6920,96,836
911,5444,84,834
912,1772,98,660
913,6119,46,908
914,4201,52,614
915,5576,62,533
916,6563,30,822
917,7854,36,259
918,7819,36,532
919,2081,97,886
920,4448,87,112
921,5278,33,245
922,4287,93,368
923,1953,30,22
924,9715,42,201
925,6490,88,488
926,7165,3,365
927,9129,46,553
928,9329,72,630
929,4844,52,33
930,5894,62,280
931,7574,3,321
932,1798,61,686
933,8719,28,760
934,6137,80,433
935,7339,25,671
936,1493,70,238
937,4881,7,292
938,5651,9,355
939,1832,46,979
940,8752,82,589
941,6086,79,8
942,9777,75,160
943,8050,91,525
944,4524,53,187
945,3546,29,686
946,3256,97,632
947,2716,56,620
948,7535,43,886
949,1486,3,547
950,3464,51,899
951,5671,47,223
952,9021,57,117
953,5174,77,154
954,3076,70,158
955,3229,31,634
956,1615,91,793
957,3945,12,316
958,4797,85,411
959,9259,3,75
960,8149,40,601
961,9618,63,615
962,3927,73,348
963,3511,65,556
964,6174,12,990
965,9278,20,990
966,2573,83,353
967,9663,82,690
968,2421,29,262
969,4063,99,97
970,4945,93,296
971,1148,94,414
972,2559,92,316
973,9528,21,646
974,3479,67,21
975,4526,80,788
976,2362,33,904
977,2321,16,719
978,5395,97,259
979,1257,72,466
980,4377,41,724
981,2348,7,453
982,1639,60,34
983,6383,21,554
984,4790,87,127
985,7000,78,229
986,3514,80,153
987,6679,39,571
988,4670,47,933
989,9333,85,448
990,3966,99,118
991,7094,36,572
992,4363,99,415
993,2297,23,265
994,2433,19,931
995,6028,50,817
996,5207,71,807
997,9362,35,274
998,6750,43,900
999,3130,13,603
1000,7597,82,175
1001,1428,24,623
1002,4973,39,575
1003,9914,45,162
1004,2772,10,667
1005,3652,100,679
1006,2657,65,348
1007,9966,44,709
1008,5063,31,20
1009,7933,62,479
1010,9313,48,429
1011,4269,52,638
1012,1495,51,391
1013,3690,84,521
1014,2897,92,143
1015,6258,2,534
1016,2594,81,926
1017,6909,68,540
1018,3426,6,778
1019,8839,75,184
1020,8024,90,925
1021,4087,0,316
1022,4183,27,390
1023,7194,15,76
1024,4220,100,775
1025,3272,92,765
1026,5634,78,519
1027,5237,51,657
1028,7048,9,730
1029,3160,68,44
1030,1791,70,714
1031,1395,91,624
1032,4717,17,713
1033,1342,66,942
1034,3095,2,320
1035,4321,52,479
1036,3897,88,401
1037,5913,62,116
1038,3240,97,555
1039,6163,3,498
1040,9578,46,807
1041,2373,65,62
1042,9995,4,416
1043,1137,95,672
1044,1786,26,856
1045,3879,44,534
1046,9622,19,532
1047,6800,92,172
1048,9451,41,664
1049,2019,10,88
1050,9851,61,865
1051,4092,77,633
1052,8310,10,752
1053,4989,95,664
1054,3561,99,923
1055,4582,6,740
1056,5071,75,754
1057,1831,80,828
1058,6434,48,6
1059,4562,77,828
1060,8643,6,639
1061,5450,5,275
1062,9342,35,923
1063,6044,95,92
1064,5349,32,907
1065,5911,8,517
1066,7726,50,532
1067,6643,26,891
1068,3997,61,495
1069,5423,96,437
1070,5523,95,84
1071,7837,41,251
1072,3962,100,136
1073,7833,54,795
1074,9800,2,202
1075,3556,59,376
1076,8475,25,70
1077,7100,63,126
1078,5493,42,223
1079,9673,22,131
1080,8016,31,96
1081,1956,66,105
1082,9510,24,887
1083,6600,72,47
1084,5718,18,150
1085,3713,5,12
1086,7812,48,669
1087,3443,71,530
1088,2979,39,23
1089,1606,28,326
1090,6954,88,930
1091,3435,82,656
1092,7959,98,325
1093,5895,84,185
1094,1419,86,983
1095,6587,58,692
1096,2469,90,926
1097,5278,61,277
1098,1195,18,153
1099,1694,82,128
1100,8624,96,908
1101,8647,66,201
1102,5867,94,397
1103,8636,97,878
1104,1985,97,943
1105,1777,25,399
1106,1609,90,645
1107,3768,39,991
1108,2040,17,202
1109,9727,24,703
1110,8095,30,570
1111,4469,55,891
1112,1585,72,500
1113,5080,93,678
1114,7338,45,418
1115,4601,48,289
1116,4698,68,536
1117,3515,39,959
1118,3247,100,372
1119,8122,39,377
1120,3114,40,319
1121,7894,64,362
1122,6298,37,698
1123,4903,9,903
1124,3988,19,796
1125,5744,74,908
1126,9103,2,606
1127,1697,71,2
1128,9693,45,1
1129,2788,77,543
1130,5277,14,233
1131,5603,65,957
1132,3122,45,49
1133,3400,31,281
1134,4999,7,520
1135,2367,46,717
1136,5982,31,302
1137,4406,63,290
1138,2981,84,240
1139,4787,100,332
1140,3218,20,867
1141,4955,31,754
1142,1539,30,643
1143,1475,76,820
1144,1862,42,61
1145,7486,9,129
1146,5257,86,748
1147,3576,38,959
1148,1720,38,78
1149,3770,3,651
1150,5707,82,32
1151,7656,35,486
1152,1051,52,978
1153,5030,13,434
1154,1249,3,893
1155,2255,78,64
1156,5746,39,278
1157,4899,83,285
1158,4842,2,528
1159,7510,56,181
1160,9813,67,965
1161,2056,52,96
1162,5269,25,458
1163,6042,52,579
1164,4091,50,541
1165,8922,96,862
1166,8712,67,964
1167,6072,22,919
1168,4769,24,42
1169,3424,94,44
1170,1461,28,658
1171,4246,40,879
1172,3538,66,130
1173,5861,6,543
1174,1306,40,76
1175,2141,38,943
1176,8423,79,258
1177,8774,5,168
1178,6096,48,35
1179,6157,36,698
1180,3282,43,855
1181,8278,45,542
1182,5167,46,673
1183,2784,81,723
1184,4006,98,167
1185,5318,88,964
1186,6112,55,277
1187,1395,36,676
1188,8505,53,440
1189,2618,53,3
1190,2147,61,742
1191,7554,23,46
1192,9493,28,713
1193,5130,24,115
1194,5378,52,230
1195,9763,55,232
1196,4691,80,225
1197,2734,2,670
1198,6630,25,496
1199,1645,34,61
1200,2730,75,902
1201,8733,42,237
1202,9273,81,445
1203,4785,19,153
1204,7783,43,39
1205,1111,68,182
1206,6707,2,756
1207,4841,32,563
1208,8021,23,403
1209,3048,81,740
1210,8977,76,81
1211,8448,38,577
1212,4670,26,932
1213,2887,46,865
1214,2436,15,112
1215,3401,94,839
1216,6371,22,886
1217,6567,83,73
1218,9798,49,177
1219,4235,96,473
1220,5329,31,709
1221,9045,32,296
1222,7363,90,30
1223,6052,90,995
1224,9037,83,974
1225,4635,46,239
1226,4261,53,283
1227,7294,84,895
1228,3034,21,621
1229,8547,71,209
1230,2440,96,214
1231,8983,92,534
1232,5497,78,680
1233,9279,61,764
1234,5392,80,784
1235,4356,54,409
1236,6296,2,857
1237,1792,24,22
1238,9887,9,595
1239,4184,30,713
1240,4814,85,178
1241,6613,53,181
1242,8164,65,860
1243,4400,73,940
1244,2894,29,588
1245,2334,79,467
1246,3385,36,419
1247,1562,71,171
1248,5178,99,969
1249,4320,82,41
1250,9044,48,169
1251,4767,69,465
1252,2539,58,187
1253,4139,92,474
1254,1665,58,201
1255,6694,55,318
1256,4926,7,612
1257,6393,53,35
1258,9094,80,531
1259,2474,13,277
1260,9097,76,768
1261,7657,72,601
1262,3502,23,933
1263,9606,13,386
1264,4734,48,240
1265,9741,47,290
1266,5706,75,803
1267,5223,97,871
1268,5911,93,297
1269,6808,65,32
1270,4822,42,529
1271,7865,75,935
1272,3067,65,325
1273,9044,6,987
1274,3904,12,454
1275,4510,86,868
1276,1057,100,784
1277,2009,7,670
1278,3487,69,691
1279,9324,67,174
1280,3331,44,845
1281,9857,79,612
1282,7962,81,397
1283,1294,14,628
1284,1013,5,426
1285,2516,92,627
1286,6598,17,552
1287,5022,58,655
1288,5278,15,18
1289,8198,25,464
1290,9964,41,525
1291,3456,4,828
1292,1806,89,82
1293,4481,9,972
1294,2402,18,29
1295,8265,69,249
1296,2353,97,47
1297,1000,81,872
1298,1857,89,502
1299,4961,70,267
1300,2251,23,518
1301,7952,81,724
1302,5319,30,518
1303,4350,72,199
1304,8989,89,420
1305,6653,30,885
1306,8894,83,886
1307,5586,27,944
1308,3983,96,999
1309,6355,22,176
1310,9046,56,817
1311,3599,86,192
1312,3142,3,549
1313,7731,69,689
1314,4415,16,181
1315,6130,51,673
1316,3352,20,963
1317,9144,89,153
1318,3769,21,473
1319,4349,4,300
1320,2854,1,953
1321,4882,71,718
1322,2943,15,225
1323,2168,35,731
1324,2882,36,37
1325,5322,36,532
1326,4393,22,134
1327,4106,70,876
1328,3602,0,933
1329,6974,88,259
1330,6930,54,753
1331,8691,76,830
1332,4196,75,665
1333,7903,90,618
1334,2555,51,314
1335,9957,71,593
1336,7658,19,872
1337,5024,81,997
1338,2582,23,284
1339,6212,90,720
1340,5288,36,626
1341,3001,28,698
1342,1197,42,171
1343,8995,42,921
1344,3099,0,870
1345,1461,77,337
1346,8715,79,17
1347,4969,45,120
1348,6717,47,782
1349,9648,27,997
1350,1083,69,310
1351,3075,68,599
1352,2055,98,240
1353,4476,96,381
1354,8784,51,463
1355,3154,18,442
1356,1606,23,478
1357,4300,30,263
1358,8262,26,904
1359,2199,51,442
1360,6673,87,257
1361,7553,30,598
1362,1464,100,604
1363,2077,44,296
1364,3650,16,561
1365,2925,10,850
1366,8233,74,157
1367,7008,98,787
1368,7332,12,456
1369,8174,85,137
1370,1327,95,488
1371,6052,74,20
1372,8611,88,41
1373,6629,41,260
1374,1444,61,691
1375,4584,33,410
1376,4331,96,43
1377,1303,82,85
1378,1159,62,505
1379,7212,52,617
1380,6058,4,82
1381,7699,48,182
1382,1116,98,734
1383,1599,17,88
1384,6687,11,304
1385,3052,79,964
1386,2759,33,14
1387,6966,38,386
1388,3744,86,776
1389,3192,59,462
1390,4927,66,19
1391,1313,15,636
1392,4094,49,515
1393,4129,62,264
1394,7977,99,512
1395,4631,81,831
1396,8309,88,551
1397,3403,89,564
1398,8194,13,847
1399,2445,92,111
1400,7369,34,13
1401,8159,29,282
1402,6241,27,906
1403,9082,22,869
1404,9619,85,299
1405,3574,37,198
1406,6820,98,336
1407,8829,38,594
1408,8068,85,826
1409,6250,34,851
1410,4723,42,654
1411,1410,55,925
1412,1281,43,48
1413,2393,55,46
1414,8971,2,368
1415,3715,32,349
1416,7736,50,168
1417,9882,25,445
1418,9284,36,528
1419,3699,11,722
1420,7090,60,745
1421,5660,96,272
1422,2604,15,952
1423,6144,2,872
1424,1874,74,501
1425,4828,19,792
1426,1669,4,571
1427,8105,65,181
1428,8893,77,123
1429,6840,72,983
1430,2341,34,672
1431,2676,31,245
1432,3307,56,447
1433,7001,12,104
1434,1349,76,426
1435,3053,96,330
1436,8229,20,208
1437,6525,18,392
1438,6493,82,786
1439,6892,47,297
1440,5255,47,811
1441,3332,85,787
1442,6598,53,414
1443,2357,60,699
1444,7384,41,775
1445,1178,70,163
1446,1352,15,702
1447,3677,31,392
1448,2057,27,921
1449,1743,29,190
1450,7293,84,525
1451,8298,73,114
1452,1458,84,881
1453,3187,36,79
1454,8110,7,429
1455,6084,78,616
1456,3587,86,373
1457,3284,37,111
1458,5493,42,518
1459,2098,10,753
1460,9378,96,284
1461,9396,87,644
1462,7179,32,481
1463,5271,75,219
1464,8088,63,29
1465,6998,47,970
1466,6195,66,504
1467,9566,89,436
1468,7922,35,258
1469,8825,32,801
1470,6926,36,816
1471,4627,87,160
1472,4941,38,423
1473,1784,13,903
1474,3193,96,74
1475,4691,0,171
1476,1857,79,112
1477,1855,40,726
1478,5028,57,175
1479,8134,100,809
1480,1377,19,483
1481,3914,65,32
1482,3637,57,467
1483,1483,89,731
1484,4690,12,201
1485,3906,69,881
1486,8861,8,435
1487,6148,76,220
1488,2523,32,123
1489,6329,81,149
1490,4081,59,730
1491,7523,90,995
1492,2532,92,187
1493,4048,99,859
1494,8276,68,608
